x	y
13.6	11.1
9.9	12.6
14.7	10.2
15.2	10.0
13.2	13.0
13.8	8.9
13.1	10.6
11.0	11.9
15.2	11.7
11.1	9.6
11.7	13.6
12.3	11.5
10.6	11.9
14.6	10.6
16.6	14.3
9.5	10.7
13.3	10.7
15.0	10.2
15.1	10.0
10.9	9.8
12.5	12.0
11.8	11.8
12.2	10.4
13.9	12.8
12.3	11.9
11.0	11.9
11.0	9.8
13.5	13.3
10.8	11.7
12.2	13.6
13.9	14.0
12.5	11.6
15.7	12.7
12.9	9.9
13.0	10.2
13.7	11.4
13.1	11.1
13.4	11.1
14.8	9.4
13.2	13.2
9.8	12.5
12.5	12.0
13.4	10.2
14.4	11.6
16.0	14.2
10.9	12.0
12.5	13.4
15.8	12.4
16.5	14.3
11.2	8.6
15.8	12.2
11.0	9.8
11.7	13.6
11.5	12.3
11.8	15.1
13.0	13.9
14.1	13.1
14.8	10.0
12.6	11.0
14.6	12.9
12.5	11.2
14.5	8.7
9.2	10.8
17.9	7.2
11.2	14.7
9.5	10.7
10.8	9.9
16.1	14.1
10.4	10.6
13.7	9.0
15.8	13.9
12.2	11.8
11.5	10.7
15.4	11.2
15.9	12.2
10.2	11.9
14.0	12.8
16.5	11.4
17.5	11.2
13.8	8.9
14.1	10.6
14.7	11.5
12.6	13.4
11.7	10.4
14.4	12.6
15.2	17.0
15.8	13.9
13.9	12.7
15.2	11.6
13.2	12.9
12.7	11.3
15.1	13.2
12.8	11.6
13.6	13.2
14.0	13.1
15.4	13.3
14.8	14.9
10.3	11.4
10.5	11.6
9.9	12.3
14.2	9.2
13.6	12.5
15.0	9.8
15.7	12.4
9.2	12.0
16.8	11.4
13.3	10.3
10.6	11.6
8.3	7.2
13.4	13.0
14.5	8.7
16.8	11.4
14.7	11.9
10.3	11.4
13.2	11.2
9.1	13.2
15.2	10.0
8.4	7.4
15.3	9.8
13.3	12.4
13.2	9.7
12.6	11.5
13.9	11.0
13.5	12.5
15.2	17.0
11.6	11.1
9.4	10.8
11.4	9.6
11.2	14.8
11.9	10.2
15.0	10.2
13.6	11.5
14.1	13.6
10.5	11.2
10.3	9.5
13.8	12.7
13.4	12.4
12.6	11.0
15.7	13.9
13.8	8.9
13.2	12.3
15.1	10.1
13.2	10.5
14.6	11.4
14.4	10.3
15.0	14.1
13.1	10.6
13.4	8.8
11.8	9.5
16.0	14.4
10.6	10.9
14.6	10.6
9.3	12.2
14.5	11.5
10.5	12.3
14.0	12.8
10.6	11.6
10.6	11.7
15.7	6.1
11.8	11.2
11.8	10.3
11.6	11.1
15.8	14.0
10.7	11.7
13.4	13.3
11.2	11.5
15.5	12.8
14.0	10.7
13.4	12.5
14.6	16.2
15.3	13.4
14.5	8.8
11.4	9.9
12.5	11.2
13.8	11.2
10.6	11.0
10.5	11.0
14.8	10.8
14.2	12.0
13.3	12.0
10.4	11.8
12.5	10.6
15.0	12.0
10.6	9.9
13.1	11.1
10.1	11.5
11.2	11.4
12.9	11.7
12.2	10.0
12.4	11.3
11.9	10.2
11.5	11.4
11.7	13.6
12.5	11.5
14.8	12.3
14.0	12.7
12.5	13.4
9.2	12.3
10.4	11.3
12.7	9.2
9.1	6.3
8.3	7.1
15.3	13.6
11.2	11.4
11.8	11.2
12.7	11.3
11.8	11.2
12.2	13.6
12.7	11.3
13.6	13.4
8.8	15.1
12.2	11.3
16.2	14.3
12.8	11.6
13.6	13.4
12.7	10.2
15.0	11.9
13.9	12.7
13.6	9.1
12.5	13.0
9.9	12.4
17.6	7.3
11.1	11.1
16.7	14.4
9.7	11.0
13.4	13.0
13.1	10.6
13.7	10.1
11.7	11.1
13.1	11.8
13.1	11.8
12.3	11.9
14.9	12.8
11.5	12.6
12.9	11.6
11.0	11.2
15.8	14.0
12.9	10.3
12.3	11.5
9.8	11.8
12.7	11.3
12.7	12.1
16.0	9.2
11.0	11.9
14.1	9.3
11.0	11.7
14.5	8.7
15.6	11.3
9.6	11.8
15.5	11.1
14.4	12.2
11.4	9.9
13.7	11.3
11.4	11.0
16.0	9.1
9.9	11.9
10.8	9.7
12.6	11.6
9.3	10.7
13.8	13.8
13.8	13.8
14.7	10.0
15.3	10.0
14.1	12.4
13.8	10.1
11.0	11.3
12.4	10.5
14.8	10.0
15.0	13.6
15.4	13.5
12.8	14.3
11.3	9.8
10.5	11.8
11.0	11.2
13.4	9.5
10.3	11.4
9.6	11.8
14.5	12.3
11.5	11.4
12.7	10.7
15.0	12.0
12.3	14.8
12.9	10.8
15.3	9.1
15.8	9.6
13.1	13.9
12.9	11.7
